"orden","tipo","script","objeto","paquete","procedimiento","log","estado_traza","prioridad","oleada","origen_wrapper","observacion"
"80","DB","/stbybackup/scripts_proc_nocturnos/FIN_PROCESOS_COEASY.sql","P_MAIL.MULTIPART_MIME_TYPE","P_MAIL","MULTIPART_MIME_TYPE","/stbybackup/logs_coeasy_nocturnos/FIN_PROCESOS_COEASY.log","pendiente","alta","3","FIN_PROCESOS_COEASY.sql","Extraido de FIN_PROCESOS_COEASY.sql linea 10"
"81","DB","/stbybackup/scripts_proc_nocturnos/FIN_PROCESOS_COEASY.sql","P_MAIL.ATTACH_TEXT","P_MAIL","ATTACH_TEXT","/stbybackup/logs_coeasy_nocturnos/FIN_PROCESOS_COEASY.log","pendiente","alta","3","FIN_PROCESOS_COEASY.sql","Extraido de FIN_PROCESOS_COEASY.sql linea 11"
"82","DB","/stbybackup/scripts_proc_nocturnos/FIN_PROCESOS_COEASY.sql","P_MAIL.END_MAIL","P_MAIL","END_MAIL","/stbybackup/logs_coeasy_nocturnos/FIN_PROCESOS_COEASY.log","pendiente","alta","3","FIN_PROCESOS_COEASY.sql","Extraido de FIN_PROCESOS_COEASY.sql linea 34"
"83","DB","/stbybackup/scripts_proc_nocturnos/proceso_distribucion.sql","proceso_distribucion","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 12"
"84","DB","/stbybackup/scripts_proc_nocturnos/proceso_distribucion.sql","P_WEB_EXTRACTO.DIA_HABIL","P_WEB_EXTRACTO","DIA_HABIL","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Llamado interno detectado en proceso_distribucion.sql linea 2420"
"85","DB","/stbybackup/scripts_proc_nocturnos/proceso_distribucion.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Llamado interno detectado en proceso_distribucion.sql linea 2678"
"86","DB","/stbybackup/scripts_proc_nocturnos/confirma_participacion.sql","confirma_participacion","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 17"
"87","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_divisas.sql","distribucion_clientes_divisas","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 21"
"88","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_divisas.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Llamado interno detectado en distribucion_clientes_divisas.sql linea 142"
"89","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_rvariable.sql","distribucion_clientes_rvariable","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 22"
